	Abilities	Height	Local №	National №	Species	Type	Weight	name
558	1. Shed Skin2. MoxieIntimidate (hidden ability)	3′07″ (1.1 m)	066 (Black/White)118 (Black 2/White 2)101 (X/Y — Central Kalos)336 (U.Sun/U.Moon — Alola dex)	560	Hoodlum Pokémon	Dark Fighting	66.1 lbs (30.0 kg)	Scrafty
559	1. Wonder Skin2. Magic GuardTinted Lens (hidden ability)	4′07″ (1.4 m)	067 (Black/White)120 (Black 2/White 2)090 (X/Y — Coastal Kalos)	561	Avianoid Pokémon	Psychic Flying	30.9 lbs (14.0 kg)	Sigilyph
560	1. Mummy	1′08″ (0.5 m)	068 (Black/White)124 (Black 2/White 2)	562	Spirit Pokémon	Ghost	3.3 lbs (1.5 kg)	Yamask
561	1. Mummy	5′07″ (1.7 m)	069 (Black/White)125 (Black 2/White 2)	563	Coffin Pokémon	Ghost	168.7 lbs (76.5 kg)	Cofagrigus
562	1. Solid Rock2. SturdySwift Swim (hidden ability)	2′04″ (0.7 m)	070 (Black/White)126 (Black 2/White 2)194 (Sun/Moon — Alola dex)241 (U.Sun/U.Moon — Alola dex)	564	Prototurtle Pokémon	Water Rock	36.4 lbs (16.5 kg)	Tirtouga
563	1. Solid Rock2. SturdySwift Swim (hidden ability)	3′11″ (1.2 m)	071 (Black/White)127 (Black 2/White 2)195 (Sun/Moon — Alola dex)242 (U.Sun/U.Moon — Alola dex)	565	Prototurtle Pokémon	Water Rock	178.6 lbs (81.0 kg)	Carracosta
564	1. Defeatist	1′08″ (0.5 m)	072 (Black/White)128 (Black 2/White 2)192 (Sun/Moon — Alola dex)239 (U.Sun/U.Moon — Alola dex)	566	First Bird Pokémon	Rock Flying	20.9 lbs (9.5 kg)	Archen
565	1. Defeatist	4′07″ (1.4 m)	073 (Black/White)129 (Black 2/White 2)193 (Sun/Moon — Alola dex)240 (U.Sun/U.Moon — Alola dex)	567	First Bird Pokémon	Rock Flying	70.5 lbs (32.0 kg)	Archeops
566	1. Stench2. Sticky HoldAftermath (hidden ability)	2′00″ (0.6 m)	074 (Black/White)105 (Black 2/White 2)074 (X/Y — Mountain Kalos)206 (Sun/Moon — Alola dex)264 (U.Sun/U.Moon — Alola dex)	568	Trash Bag Pokémon	Poison	68.3 lbs (31.0 kg)	Trubbish
567	1. Stench2. Weak ArmorAftermath (hidden ability)	6′03″ (1.9 m)	075 (Black/White)106 (Black 2/White 2)075 (X/Y — Mountain Kalos)207 (Sun/Moon — Alola dex)265 (U.Sun/U.Moon — Alola dex)	569	Trash Heap Pokémon	Poison	236.6 lbs (107.3 kg)	Garbodor
568	1. Illusion	2′04″ (0.7 m)	076 (Black/White)151 (Black 2/White 2)124 (X/Y — Mountain Kalos)028 (U.Sun/U.Moon — Alola dex)	570	Tricky Fox Pokémon	Dark	27.6 lbs (12.5 kg)	Zorua
569	1. Illusion	5′03″ (1.6 m)	077 (Black/White)152 (Black 2/White 2)125 (X/Y — Mountain Kalos)029 (U.Sun/U.Moon — Alola dex)	571	Illusion Fox Pokémon	Dark	178.8 lbs (81.1 kg)	Zoroark
570	1. Cute Charm2. TechnicianSkill Link (hidden ability)	1′04″ (0.4 m)	078 (Black/White)107 (Black 2/White 2)266 (U.Sun/U.Moon — Alola dex)	572	Chinchilla Pokémon	Normal	12.8 lbs (5.8 kg)	Minccino
571	1. Cute Charm2. TechnicianSkill Link (hidden ability)	1′08″ (0.5 m)	079 (Black/White)108 (Black 2/White 2)267 (U.Sun/U.Moon — Alola dex)	573	Scarf Pokémon	Normal	16.5 lbs (7.5 kg)	Cinccino
572	1. Frisk2. CompetitiveShadow Tag (hidden ability)	1′04″ (0.4 m)	080 (Black/White)136 (Black 2/White 2)126 (X/Y — Mountain Kalos)	574	Fixation Pokémon	Psychic	12.8 lbs (5.8 kg)	Gothita
573	1. Frisk2. CompetitiveShadow Tag (hidden ability)	2′04″ (0.7 m)	081 (Black/White)137 (Black 2/White 2)127 (X/Y — Mountain Kalos)	575	Manipulate Pokémon	Psychic	39.7 lbs (18.0 kg)	Gothorita
574	1. Frisk2. CompetitiveShadow Tag (hidden ability)	4′11″ (1.5 m)	082 (Black/White)138 (Black 2/White 2)128 (X/Y — Mountain Kalos)	576	Astral Body Pokémon	Psychic	97.0 lbs (44.0 kg)	Gothitelle
575	1. Overcoat2. Magic GuardRegenerator (hidden ability)	1′00″ (0.3 m)	083 (Black/White)139 (Black 2/White 2)115 (X/Y — Coastal Kalos)	577	Cell Pokémon	Psychic	2.2 lbs (1.0 kg)	Solosis
576	1. Overcoat2. Magic GuardRegenerator (hidden ability)	2′00″ (0.6 m)	084 (Black/White)140 (Black 2/White 2)116 (X/Y — Coastal Kalos)	578	Mitosis Pokémon	Psychic	17.6 lbs (8.0 kg)	Duosion
577	1. Overcoat2. Magic GuardRegenerator (hidden ability)	3′03″ (1.0 m)	085 (Black/White)141 (Black 2/White 2)117 (X/Y — Coastal Kalos)	579	Multiplying Pokémon	Psychic	44.3 lbs (20.1 kg)	Reuniclus
578	1. Keen Eye2. Big PecksHydration (hidden ability)	1′08″ (0.5 m)	086 (Black/White)153 (Black 2/White 2)127 (X/Y — Central Kalos)	580	Water Bird Pokémon	Water Flying	12.1 lbs (5.5 kg)	Ducklett
579	1. Keen Eye2. Big PecksHydration (hidden ability)	4′03″ (1.3 m)	087 (Black/White)154 (Black 2/White 2)128 (X/Y — Central Kalos)	581	White Bird Pokémon	Water Flying	53.4 lbs (24.2 kg)	Swanna
580	1. Ice Body2. Snow CloakWeak Armor (hidden ability)	1′04″ (0.4 m)	088 (Black/White)255 (Black 2/White 2)085 (X/Y — Mountain Kalos)255 (Sun/Moon — Alola dex)332 (U.Sun/U.Moon — Alola dex)	582	Fresh Snow Pokémon	Ice	12.6 lbs (5.7 kg)	Vanillite
581	1. Ice Body2. Snow CloakWeak Armor (hidden ability)	3′07″ (1.1 m)	089 (Black/White)256 (Black 2/White 2)086 (X/Y — Mountain Kalos)256 (Sun/Moon — Alola dex)333 (U.Sun/U.Moon — Alola dex)	583	Icy Snow Pokémon	Ice	90.4 lbs (41.0 kg)	Vanillish
582	1. Ice Body2. Snow WarningWeak Armor (hidden ability)	4′03″ (1.3 m)	090 (Black/White)257 (Black 2/White 2)087 (X/Y — Mountain Kalos)257 (Sun/Moon — Alola dex)334 (U.Sun/U.Moon — Alola dex)	584	Snowstorm Pokémon	Ice	126.8 lbs (57.5 kg)	Vanilluxe
583	1. Chlorophyll2. Sap SipperSerene Grace (hidden ability)	2′00″ (0.6 m)	091 (Black/White)159 (Black 2/White 2)	585	Season Pokémon	Normal Grass	43.0 lbs (19.5 kg)	Deerling
584	1. Chlorophyll2. Sap SipperSerene Grace (hidden ability)	6′03″ (1.9 m)	092 (Black/White)160 (Black 2/White 2)	586	Season Pokémon	Normal Grass	203.9 lbs (92.5 kg)	Sawsbuck
585	1. StaticMotor Drive (hidden ability)	1′04″ (0.4 m)	093 (Black/White)144 (Black 2/White 2)086 (X/Y — Coastal Kalos)274 (Sun/Moon — Alola dex)364 (U.Sun/U.Moon — Alola dex)	587	Sky Squirrel Pokémon	Electric Flying	11.0 lbs (5.0 kg)	Emolga
586	1. Swarm2. Shed SkinNo Guard (hidden ability)	1′08″ (0.5 m)	094 (Black/White)155 (Black 2/White 2)022 (X/Y — Mountain Kalos)	588	Clamping Pokémon	Bug	13.0 lbs (5.9 kg)	Karrablast
587	1. Swarm2. Shell ArmorOvercoat (hidden ability)	3′03″ (1.0 m)	095 (Black/White)156 (Black 2/White 2)023 (X/Y — Mountain Kalos)	589	Cavalry Pokémon	Bug Steel	72.8 lbs (33.0 kg)	Escavalier
588	1. Effect SporeRegenerator (hidden ability)	0′08″ (0.2 m)	096 (Black/White)161 (Black 2/White 2)053 (X/Y — Mountain Kalos)	590	Mushroom Pokémon	Grass Poison	2.2 lbs (1.0 kg)	Foongus
589	1. Effect SporeRegenerator (hidden ability)	2′00″ (0.6 m)	097 (Black/White)162 (Black 2/White 2)054 (X/Y — Mountain Kalos)	591	Mushroom Pokémon	Grass Poison	23.1 lbs (10.5 kg)	Amoonguss
590	1. Water Absorb2. Cursed BodyDamp (hidden ability)	3′11″ (1.2 m)	098 (Black/White)180 (Black 2/White 2)318 (U.Sun/U.Moon — Alola dex)	592	Floating Pokémon	Water Ghost	72.8 lbs (33.0 kg)	Frillish
591	1. Water Absorb2. Cursed BodyDamp (hidden ability)	7′03″ (2.2 m)	099 (Black/White)181 (Black 2/White 2)319 (U.Sun/U.Moon — Alola dex)	593	Floating Pokémon	Water Ghost	297.6 lbs (135.0 kg)	Jellicent
592	1. Healer2. HydrationRegenerator (hidden ability)	3′11″ (1.2 m)	100 (Black/White)182 (Black 2/White 2)149 (X/Y — Coastal Kalos)157 (Sun/Moon — Alola dex)191 (U.Sun/U.Moon — Alola dex)	594	Caring Pokémon	Water	69.7 lbs (31.6 kg)	Alomomola
593	1. Compound Eyes2. UnnerveSwarm (hidden ability)	0′04″ (0.1 m)	101 (Black/White)173 (Black 2/White 2)	595	Attaching Pokémon	Bug Electric	1.3 lbs (0.6 kg)	Joltik
594	1. Compound Eyes2. UnnerveSwarm (hidden ability)	2′07″ (0.8 m)	102 (Black/White)174 (Black 2/White 2)	596	EleSpider Pokémon	Bug Electric	31.5 lbs (14.3 kg)	Galvantula
595	1. Iron BarbsAnticipation (hidden ability)	2′00″ (0.6 m)	103 (Black/White)175 (Black 2/White 2)069 (X/Y — Coastal Kalos)	597	Thorn Seed Pokémon	Grass Steel	41.4 lbs (18.8 kg)	Ferroseed
596	1. Iron BarbsAnticipation (hidden ability)	3′03″ (1.0 m)	104 (Black/White)176 (Black 2/White 2)070 (X/Y — Coastal Kalos)	598	Thorn Pod Pokémon	Grass Steel	242.5 lbs (110.0 kg)	Ferrothorn
597	1. Plus2. MinusClear Body (hidden ability)	1′00″ (0.3 m)	105 (Black/White)130 (Black 2/White 2)	599	Gear Pokémon	Steel	46.3 lbs (21.0 kg)	Klink
598	1. Plus2. MinusClear Body (hidden ability)	2′00″ (0.6 m)	106 (Black/White)131 (Black 2/White 2)	600	Gear Pokémon	Steel	112.4 lbs (51.0 kg)	Klang
599	1. Plus2. MinusClear Body (hidden ability)	2′00″ (0.6 m)	107 (Black/White)132 (Black 2/White 2)	601	Gear Pokémon	Steel	178.6 lbs (81.0 kg)	Klinklang
600	1. Levitate	0′08″ (0.2 m)	108 (Black/White)177 (Black 2/White 2)	602	EleFish Pokémon	Electric	0.7 lbs (0.3 kg)	Tynamo
601	1. Levitate	3′11″ (1.2 m)	109 (Black/White)178 (Black 2/White 2)	603	EleFish Pokémon	Electric	48.5 lbs (22.0 kg)	Eelektrik
602	1. Levitate	6′11″ (2.1 m)	110 (Black/White)179 (Black 2/White 2)	604	EleFish Pokémon	Electric	177.5 lbs (80.5 kg)	Eelektross
603	1. Telepathy2. SynchronizeAnalytic (hidden ability)	1′08″ (0.5 m)	111 (Black/White)188 (Black 2/White 2)275 (U.Sun/U.Moon — Alola dex)	605	Cerebral Pokémon	Psychic	19.8 lbs (9.0 kg)	Elgyem
604	1. Telepathy2. SynchronizeAnalytic (hidden ability)	3′03″ (1.0 m)	112 (Black/White)189 (Black 2/White 2)276 (U.Sun/U.Moon — Alola dex)	606	Cerebral Pokémon	Psychic	76.1 lbs (34.5 kg)	Beheeyem
605	1. Flash Fire2. Flame BodyInfiltrator (hidden ability)	1′00″ (0.3 m)	113 (Black/White)190 (Black 2/White 2)065 (X/Y — Mountain Kalos)	607	Candle Pokémon	Ghost Fire	6.8 lbs (3.1 kg)	Litwick
606	1. Flash Fire2. Flame BodyInfiltrator (hidden ability)	2′00″ (0.6 m)	114 (Black/White)191 (Black 2/White 2)066 (X/Y — Mountain Kalos)	608	Lamp Pokémon	Ghost Fire	28.7 lbs (13.0 kg)	Lampent
607	1. Flash Fire2. Flame BodyInfiltrator (hidden ability)	3′03″ (1.0 m)	115 (Black/White)192 (Black 2/White 2)067 (X/Y — Mountain Kalos)	609	Luring Pokémon	Ghost Fire	75.6 lbs (34.3 kg)	Chandelure
608	1. Rivalry2. Mold BreakerUnnerve (hidden ability)	2′00″ (0.6 m)	116 (Black/White)183 (Black 2/White 2)148 (X/Y — Central Kalos)	610	Tusk Pokémon	Dragon	39.7 lbs (18.0 kg)	Axew
609	1. Rivalry2. Mold BreakerUnnerve (hidden ability)	3′03″ (1.0 m)	117 (Black/White)184 (Black 2/White 2)149 (X/Y — Central Kalos)	611	Axe Jaw Pokémon	Dragon	79.4 lbs (36.0 kg)	Fraxure
610	1. Rivalry2. Mold BreakerUnnerve (hidden ability)	5′11″ (1.8 m)	118 (Black/White)185 (Black 2/White 2)150 (X/Y — Central Kalos)	612	Axe Jaw Pokémon	Dragon	232.6 lbs (105.5 kg)	Haxorus
611	1. Snow Cloak2. Slush RushRattled (hidden ability)	1′08″ (0.5 m)	119 (Black/White)195 (Black 2/White 2)081 (X/Y — Mountain Kalos)	613	Chill Pokémon	Ice	18.7 lbs (8.5 kg)	Cubchoo
612	1. Snow Cloak2. Slush RushSwift Swim (hidden ability)	8′06″ (2.6 m)	120 (Black/White)196 (Black 2/White 2)082 (X/Y — Mountain Kalos)	614	Freezing Pokémon	Ice	573.2 lbs (260.0 kg)	Beartic
613	1. Levitate	3′07″ (1.1 m)	121 (Black/White)197 (Black 2/White 2)111 (X/Y — Mountain Kalos)	615	Crystallizing Pokémon	Ice	326.3 lbs (148.0 kg)	Cryogonal
614	1. Hydration2. Shell ArmorOvercoat (hidden ability)	1′04″ (0.4 m)	122 (Black/White)157 (Black 2/White 2)024 (X/Y — Mountain Kalos)	616	Snail Pokémon	Bug	17.0 lbs (7.7 kg)	Shelmet
615	1. Hydration2. Sticky HoldUnburden (hidden ability)	2′07″ (0.8 m)	123 (Black/White)158 (Black 2/White 2)025 (X/Y — Mountain Kalos)	617	Shell Out Pokémon	Bug	55.8 lbs (25.3 kg)	Accelgor
616	1. Static2. LimberSand Veil (hidden ability)	2′04″ (0.7 m)	124 (Black/White)231 (Black 2/White 2)039 (X/Y — Mountain Kalos)	618	Trap Pokémon	Ground Electric	24.3 lbs (11.0 kg)	Stunfisk
617	1. Inner Focus2. RegeneratorReckless (hidden ability)	2′11″ (0.9 m)	125 (Black/White)219 (Black 2/White 2)003 (X/Y — Coastal Kalos)359 (U.Sun/U.Moon — Alola dex)	619	Martial Arts Pokémon	Fighting	44.1 lbs (20.0 kg)	Mienfoo
618	1. Inner Focus2. RegeneratorReckless (hidden ability)	4′07″ (1.4 m)	126 (Black/White)220 (Black 2/White 2)004 (X/Y — Coastal Kalos)360 (U.Sun/U.Moon — Alola dex)	620	Martial Arts Pokémon	Fighting	78.3 lbs (35.5 kg)	Mienshao
619	1. Rough Skin2. Sheer ForceMold Breaker (hidden ability)	5′03″ (1.6 m)	127 (Black/White)270 (Black 2/White 2)141 (X/Y — Mountain Kalos)374 (U.Sun/U.Moon — Alola dex)	621	Cave Pokémon	Dragon	306.4 lbs (139.0 kg)	Druddigon
620	1. Iron Fist2. KlutzNo Guard (hidden ability)	3′03″ (1.0 m)	128 (Black/White)271 (Black 2/White 2)091 (X/Y — Coastal Kalos)312 (U.Sun/U.Moon — Alola dex)	622	Automaton Pokémon	Ground Ghost	202.8 lbs (92.0 kg)	Golett
621	1. Iron Fist2. KlutzNo Guard (hidden ability)	9′02″ (2.8 m)	129 (Black/White)272 (Black 2/White 2)092 (X/Y — Coastal Kalos)313 (U.Sun/U.Moon — Alola dex)	623	Automaton Pokémon	Ground Ghost	727.5 lbs (330.0 kg)	Golurk
622	1. Defiant2. Inner FocusPressure (hidden ability)	1′08″ (0.5 m)	130 (Black/White)223 (Black 2/White 2)048 (X/Y — Mountain Kalos)337 (U.Sun/U.Moon — Alola dex)	624	Sharp Blade Pokémon	Dark Steel	22.5 lbs (10.2 kg)	Pawniard
623	1. Defiant2. Inner FocusPressure (hidden ability)	5′03″ (1.6 m)	131 (Black/White)224 (Black 2/White 2)049 (X/Y — Mountain Kalos)338 (U.Sun/U.Moon — Alola dex)	625	Sword Blade Pokémon	Dark Steel	154.3 lbs (70.0 kg)	Bisharp
624	1. Reckless2. Sap SipperSoundproof (hidden ability)	5′03″ (1.6 m)	132 (Black/White)269 (Black 2/White 2)	626	Bash Buffalo Pokémon	Normal	208.6 lbs (94.6 kg)	Bouffalant
625	1. Keen Eye2. Sheer ForceHustle (hidden ability)	1′08″ (0.5 m)	133 (Black/White)109 (Black 2/White 2)075 (Sun/Moon — Alola dex)089 (U.Sun/U.Moon — Alola dex)	627	Eaglet Pokémon	Normal Flying	23.1 lbs (10.5 kg)	Rufflet
626	1. Keen Eye2. Sheer ForceDefiant (hidden ability)	4′11″ (1.5 m)	134 (Black/White)110 (Black 2/White 2)076 (Sun/Moon — Alola dex)090 (U.Sun/U.Moon — Alola dex)	628	Valiant Pokémon	Normal Flying	90.4 lbs (41.0 kg)	Braviary
627	1. Big Pecks2. OvercoatWeak Armor (hidden ability)	1′08″ (0.5 m)	135 (Black/White)111 (Black 2/White 2)077 (Sun/Moon — Alola dex)091 (U.Sun/U.Moon — Alola dex)	629	Diapered Pokémon	Dark Flying	19.8 lbs (9.0 kg)	Vullaby
628	1. Big Pecks2. OvercoatWeak Armor (hidden ability)	3′11″ (1.2 m)	136 (Black/White)112 (Black 2/White 2)078 (Sun/Moon — Alola dex)092 (U.Sun/U.Moon — Alola dex)	630	Bone Vulture Pokémon	Dark Flying	87.1 lbs (39.5 kg)	Mandibuzz
629	1. Gluttony2. Flash FireWhite Smoke (hidden ability)	4′07″ (1.4 m)	137 (Black/White)193 (Black 2/White 2)105 (X/Y — Mountain Kalos)	631	Anteater Pokémon	Fire	127.9 lbs (58.0 kg)	Heatmor
630	1. Swarm2. HustleTruant (hidden ability)	1′00″ (0.3 m)	138 (Black/White)194 (Black 2/White 2)106 (X/Y — Mountain Kalos)	632	Iron Ant Pokémon	Bug Steel	72.8 lbs (33.0 kg)	Durant
631	1. Hustle	2′07″ (0.8 m)	139 (Black/White)273 (Black 2/White 2)142 (X/Y — Mountain Kalos)	633	Irate Pokémon	Dark Dragon	38.1 lbs (17.3 kg)	Deino
632	1. Hustle	4′07″ (1.4 m)	140 (Black/White)274 (Black 2/White 2)143 (X/Y — Mountain Kalos)	634	Hostile Pokémon	Dark Dragon	110.2 lbs (50.0 kg)	Zweilous
633	1. Levitate	5′11″ (1.8 m)	141 (Black/White)275 (Black 2/White 2)144 (X/Y — Mountain Kalos)	635	Brutal Pokémon	Dark Dragon	352.7 lbs (160.0 kg)	Hydreigon
634	1. Flame BodySwarm (hidden ability)	3′07″ (1.1 m)	142 (Black/White)171 (Black 2/White 2)203 (U.Sun/U.Moon — Alola dex)	636	Torch Pokémon	Bug Fire	63.5 lbs (28.8 kg)	Larvesta
635	1. Flame BodySwarm (hidden ability)	5′03″ (1.6 m)	143 (Black/White)172 (Black 2/White 2)204 (U.Sun/U.Moon — Alola dex)	637	Sun Pokémon	Bug Fire	101.4 lbs (46.0 kg)	Volcarona
636	1. Justified	6′11″ (2.1 m)	144 (Black/White)225 (Black 2/White 2)	638	Iron Will Pokémon	Steel Fighting	551.2 lbs (250.0 kg)	Cobalion
637	1. Justified	6′03″ (1.9 m)	145 (Black/White)226 (Black 2/White 2)	639	Cavern Pokémon	Rock Fighting	573.2 lbs (260.0 kg)	Terrakion
638	1. Justified	6′07″ (2.0 m)	146 (Black/White)227 (Black 2/White 2)	640	Grassland Pokémon	Grass Fighting	440.9 lbs (200.0 kg)	Virizion
639	1. PranksterDefiant (hidden ability)	4′11″ (1.5 m)	147 (Black/White)198 (Black 2/White 2)	641	Cyclone Pokémon	Flying	138.9 lbs (63.0 kg)	Tornadus
640	1. PranksterDefiant (hidden ability)	4′11″ (1.5 m)	148 (Black/White)199 (Black 2/White 2)	642	Bolt Strike Pokémon	Electric Flying	134.5 lbs (61.0 kg)	Thundurus
641	1. Turboblaze	10′06″ (3.2 m)	149 (Black/White)295 (Black 2/White 2)	643	Vast White Pokémon	Dragon Fire	727.5 lbs (330.0 kg)	Reshiram
642	1. Teravolt	9′06″ (2.9 m)	150 (Black/White)296 (Black 2/White 2)	644	Deep Black Pokémon	Dragon Electric	760.6 lbs (345.0 kg)	Zekrom
643	1. Sand ForceSheer Force (hidden ability)	4′11″ (1.5 m)	151 (Black/White)200 (Black 2/White 2)	645	Abundance Pokémon	Ground Flying	149.9 lbs (68.0 kg)	Landorus
644	1. Pressure	9′10″ (3.0 m)	152 (Black/White)297 (Black 2/White 2)	646	Boundary Pokémon	Dragon Ice	716.5 lbs (325.0 kg)	Kyurem
645	1. Justified	4′07″ (1.4 m)	153 (Black/White)298 (Black 2/White 2)	647	Colt Pokémon	Water Fighting	106.9 lbs (48.5 kg)	Keldeo
646	1. Serene Grace	2′00″ (0.6 m)	154 (Black/White)299 (Black 2/White 2)	648	Melody Pokémon	Normal Psychic	14.3 lbs (6.5 kg)	Meloetta
647	1. Download	4′11″ (1.5 m)	155 (Black/White)300 (Black 2/White 2)	649	Paleozoic Pokémon	Bug Steel	181.9 lbs (82.5 kg)	Genesect
648	1. OvergrowBulletproof (hidden ability)	1′04″ (0.4 m)	001 (X/Y — Central Kalos)	650	Spiny Nut Pokémon	Grass	19.8 lbs (9.0 kg)	Chespin
649	1. OvergrowBulletproof (hidden ability)	2′04″ (0.7 m)	002 (X/Y — Central Kalos)	651	Spiny Armor Pokémon	Grass	63.9 lbs (29.0 kg)	Quilladin
650	1. OvergrowBulletproof (hidden ability)	5′03″ (1.6 m)	003 (X/Y — Central Kalos)	652	Spiny Armor Pokémon	Grass Fighting	198.4 lbs (90.0 kg)	Chesnaught
651	1. BlazeMagician (hidden ability)	1′04″ (0.4 m)	004 (X/Y — Central Kalos)	653	Fox Pokémon	Fire	20.7 lbs (9.4 kg)	Fennekin
652	1. BlazeMagician (hidden ability)	3′03″ (1.0 m)	005 (X/Y — Central Kalos)	654	Fox Pokémon	Fire	32.0 lbs (14.5 kg)	Braixen
653	1. BlazeMagician (hidden ability)	4′11″ (1.5 m)	006 (X/Y — Central Kalos)	655	Fox Pokémon	Fire Psychic	86.0 lbs (39.0 kg)	Delphox
654	1. TorrentProtean (hidden ability)	1′00″ (0.3 m)	007 (X/Y — Central Kalos)	656	Bubble Frog Pokémon	Water	15.4 lbs (7.0 kg)	Froakie
655	1. TorrentProtean (hidden ability)	2′00″ (0.6 m)	008 (X/Y — Central Kalos)	657	Bubble Frog Pokémon	Water	24.0 lbs (10.9 kg)	Frogadier
656	1. TorrentProtean (hidden ability)	4′11″ (1.5 m)	009 (X/Y — Central Kalos)	658	Ninja Pokémon	Water Dark	88.2 lbs (40.0 kg)	Greninja
657	1. Pickup2. Cheek PouchHuge Power (hidden ability)	1′04″ (0.4 m)	010 (X/Y — Central Kalos)	659	Digging Pokémon	Normal	11.0 lbs (5.0 kg)	Bunnelby
658	1. Pickup2. Cheek PouchHuge Power (hidden ability)	3′03″ (1.0 m)	011 (X/Y — Central Kalos)	660	Digging Pokémon	Normal Ground	93.5 lbs (42.4 kg)	Diggersby
659	1. Big PecksGale Wings (hidden ability)	1′00″ (0.3 m)	014 (X/Y — Central Kalos)158 (Sun/Moon — Alola dex)192 (U.Sun/U.Moon — Alola dex)	661	Tiny Robin Pokémon	Normal Flying	3.7 lbs (1.7 kg)	Fletchling
660	1. Flame BodyGale Wings (hidden ability)	2′04″ (0.7 m)	015 (X/Y — Central Kalos)159 (Sun/Moon — Alola dex)193 (U.Sun/U.Moon — Alola dex)	662	Ember Pokémon	Fire Flying	35.3 lbs (16.0 kg)	Fletchinder
661	1. Flame BodyGale Wings (hidden ability)	3′11″ (1.2 m)	016 (X/Y — Central Kalos)160 (Sun/Moon — Alola dex)194 (U.Sun/U.Moon — Alola dex)	663	Scorching Pokémon	Fire Flying	54.0 lbs (24.5 kg)	Talonflame
662	1. Shield Dust2. Compound EyesFriend Guard (hidden ability)	1′00″ (0.3 m)	020 (X/Y — Central Kalos)	664	Scatterdust Pokémon	Bug	5.5 lbs (2.5 kg)	Scatterbug
663	1. Shed SkinFriend Guard (hidden ability)	1′00″ (0.3 m)	021 (X/Y — Central Kalos)	665	Scatterdust Pokémon	Bug	18.5 lbs (8.4 kg)	Spewpa
664	1. Shield Dust2. Compound EyesFriend Guard (hidden ability)	3′11″ (1.2 m)	022 (X/Y — Central Kalos)	666	Scale Pokémon	Bug Flying	37.5 lbs (17.0 kg)	Vivillon
665	1. Rivalry2. UnnerveMoxie (hidden ability)	2′00″ (0.6 m)	057 (X/Y — Central Kalos)370 (U.Sun/U.Moon — Alola dex)	667	Lion Cub Pokémon	Fire Normal	29.8 lbs (13.5 kg)	Litleo
666	1. Rivalry2. UnnerveMoxie (hidden ability)	4′11″ (1.5 m)	058 (X/Y — Central Kalos)371 (U.Sun/U.Moon — Alola dex)	668	Royal Pokémon	Fire Normal	179.7 lbs (81.5 kg)	Pyroar
667	1. Flower VeilSymbiosis (hidden ability)	0′04″ (0.1 m)	068 (X/Y — Central Kalos)100 (U.Sun/U.Moon — Alola dex)	669	Single Bloom Pokémon	Fairy	0.2 lbs (0.1 kg)	Flabébé
668	1. Flower VeilSymbiosis (hidden ability)	0′08″ (0.2 m)	069 (X/Y — Central Kalos)101 (U.Sun/U.Moon — Alola dex)	670	Single Bloom Pokémon	Fairy	2.0 lbs (0.9 kg)	Floette
669	1. Flower VeilSymbiosis (hidden ability)	3′07″ (1.1 m)	070 (X/Y — Central Kalos)102 (U.Sun/U.Moon — Alola dex)	671	Garden Pokémon	Fairy	22.0 lbs (10.0 kg)	Florges
670	1. Sap SipperGrass Pelt (hidden ability)	2′11″ (0.9 m)	089 (X/Y — Central Kalos)	672	Mount Pokémon	Grass	68.3 lbs (31.0 kg)	Skiddo
671	1. Sap SipperGrass Pelt (hidden ability)	5′07″ (1.7 m)	090 (X/Y — Central Kalos)	673	Mount Pokémon	Grass	200.6 lbs (91.0 kg)	Gogoat
672	1. Iron Fist2. Mold BreakerScrappy (hidden ability)	2′00″ (0.6 m)	091 (X/Y — Central Kalos)220 (Sun/Moon — Alola dex)284 (U.Sun/U.Moon — Alola dex)	674	Playful Pokémon	Fighting	17.6 lbs (8.0 kg)	Pancham
673	1. Iron Fist2. Mold BreakerScrappy (hidden ability)	6′11″ (2.1 m)	092 (X/Y — Central Kalos)221 (Sun/Moon — Alola dex)285 (U.Sun/U.Moon — Alola dex)	675	Daunting Pokémon	Fighting Dark	299.8 lbs (136.0 kg)	Pangoro
674	1. Fur Coat	3′11″ (1.2 m)	093 (X/Y — Central Kalos)030 (U.Sun/U.Moon — Alola dex)	676	Poodle Pokémon	Normal	61.7 lbs (28.0 kg)	Furfrou
675	1. Keen Eye2. InfiltratorOwn Tempo (hidden ability)	1′00″ (0.3 m)	114 (X/Y — Central Kalos)	677	Restraint Pokémon	Psychic	7.7 lbs (3.5 kg)	Espurr
676	1. Keen Eye2. InfiltratorPrankster (hidden ability)	2′00″ (0.6 m)	115 (X/Y — Central Kalos)	678	Constraint Pokémon	Psychic	18.7 lbs (8.5 kg)	Meowstic
677	1. No Guard	2′07″ (0.8 m)	117 (X/Y — Central Kalos)	679	Sword Pokémon	Steel Ghost	4.4 lbs (2.0 kg)	Honedge
678	1. No Guard	2′07″ (0.8 m)	118 (X/Y — Central Kalos)	680	Sword Pokémon	Steel Ghost	9.9 lbs (4.5 kg)	Doublade
679	1. Stance Change	5′07″ (1.7 m)	119 (X/Y — Central Kalos)	681	Royal Sword Pokémon	Steel Ghost	116.8 lbs (53.0 kg)	Aegislash
680	1. HealerAroma Veil (hidden ability)	0′08″ (0.2 m)	129 (X/Y — Central Kalos)	682	Perfume Pokémon	Fairy	1.1 lbs (0.5 kg)	Spritzee
